['./machsuite/databases/original-size/merged/stencil_result.db']
391987.0 {'__PARA__L0': 1, '__PARA__L1': 1, '__PIPE__L0': '', '__PIPE__L1': '', '__PIPE__L2': '', '__TILE__L0': 1, '__TILE__L1': 4}
perf: 0.0 for point: {'__PARA__L0': 1, '__PARA__L1': 2, '__PIPE__L0': 'off', '__PIPE__L1': 'flatten', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 4}
perf: 0.0 for point: {'__PARA__L0': 1, '__PARA__L1': 4, '__PIPE__L0': '', '__PIPE__L1': 'flatten', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 2}
perf: 0.0 for point: {'__PARA__L0': 1, '__PARA__L1': 4, '__PIPE__L0': '', '__PIPE__L1': 'flatten', '__PIPE__L2': 'off', '__TILE__L0': 126, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 1, '__PARA__L1': 4, '__PIPE__L0': 'off', '__PIPE__L1': 'flatten', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 1, '__PARA__L1': 4, '__PIPE__L0': 'off', '__PIPE__L1': 'flatten', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 2}
perf: 0.0 for point: {'__PARA__L0': 1, '__PARA__L1': 4, '__PIPE__L0': 'off', '__PIPE__L1': 'flatten', '__PIPE__L2': 'off', '__TILE__L0': 126, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 1, '__PARA__L1': 62, '__PIPE__L0': '', '__PIPE__L1': '', '__PIPE__L2': '', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 1, '__PARA__L1': 62, '__PIPE__L0': '', '__PIPE__L1': '', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 1, '__PARA__L1': 62, '__PIPE__L0': '', '__PIPE__L1': '', '__PIPE__L2': 'flatten', '__TILE__L0': 126, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 1, '__PARA__L1': 62, '__PIPE__L0': '', '__PIPE__L1': '', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 1, '__PARA__L1': 8, '__PIPE__L0': '', '__PIPE__L1': '', '__PIPE__L2': 'flatten', '__TILE__L0': 2, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 1, '__PARA__L1': 8, '__PIPE__L0': '', '__PIPE__L1': '', '__PIPE__L2': 'flatten', '__TILE__L0': 4, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 1, '__PARA__L1': 8, '__PIPE__L0': '', '__PIPE__L1': '', '__PIPE__L2': 'flatten', '__TILE__L0': 8, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 1, '__PARA__L1': 8, '__PIPE__L0': '', '__PIPE__L1': 'off', '__PIPE__L2': 'flatten', '__TILE__L0': 2, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 1, '__PARA__L1': 8, '__PIPE__L0': '', '__PIPE__L1': 'off', '__PIPE__L2': 'flatten', '__TILE__L0': 8, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 126, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 14, '__PARA__L1': 1, '__PIPE__L0': '', '__PIPE__L1': '', '__PIPE__L2': '', '__TILE__L0': 1, '__TILE__L1': 62}
perf: 0.0 for point: {'__PARA__L0': 14, '__PARA__L1': 1, '__PIPE__L0': '', '__PIPE__L1': '', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 62}
perf: 0.0 for point: {'__PARA__L0': 14, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 14, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 2, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 14, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 4, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 14, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 8, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 14, '__PARA__L1': 1, '__PIPE__L0': 'off', '__PIPE__L1': '', '__PIPE__L2': '', '__TILE__L0': 1, '__TILE__L1': 62}
perf: 0.0 for point: {'__PARA__L0': 14, '__PARA__L1': 1, '__PIPE__L0': 'off', '__PIPE__L1': '', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 62}
perf: 0.0 for point: {'__PARA__L0': 16, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 16, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 2, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 18, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 18, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 2, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 18, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 4, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 18, '__PARA__L1': 1, '__PIPE__L0': 'off', '__PIPE__L1': '', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 62}
perf: 0.0 for point: {'__PARA__L0': 2, '__PARA__L1': 1, '__PIPE__L0': '', '__PIPE__L1': '', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 2, '__PARA__L1': 1, '__PIPE__L0': '', '__PIPE__L1': '', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 62}
perf: 0.0 for point: {'__PARA__L0': 2, '__PARA__L1': 1, '__PIPE__L0': '', '__PIPE__L1': 'off', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 2, '__PARA__L1': 1, '__PIPE__L0': '', '__PIPE__L1': 'off', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 62}
perf: 0.0 for point: {'__PARA__L0': 2, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 2, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 2, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 4, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 2, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 8, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 2, '__PARA__L1': 1, '__PIPE__L0': 'off', '__PIPE__L1': '', '__PIPE__L2': '', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 2, '__PARA__L1': 1, '__PIPE__L0': 'off', '__PIPE__L1': '', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 2, '__PARA__L1': 1, '__PIPE__L0': 'off', '__PIPE__L1': '', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 62}
perf: 0.0 for point: {'__PARA__L0': 2, '__PARA__L1': 1, '__PIPE__L0': 'off', '__PIPE__L1': '', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 2, '__PARA__L1': 1, '__PIPE__L0': 'off', '__PIPE__L1': 'off', '__PIPE__L2': '', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 2, '__PARA__L1': 1, '__PIPE__L0': 'off', '__PIPE__L1': 'off', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 2, '__PARA__L1': 1, '__PIPE__L0': 'off', '__PIPE__L1': 'off', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 62}
perf: 0.0 for point: {'__PARA__L0': 2, '__PARA__L1': 1, '__PIPE__L0': 'off', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 2, '__PARA__L1': 62, '__PIPE__L0': '', '__PIPE__L1': '', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 2, '__PARA__L1': 62, '__PIPE__L0': '', '__PIPE__L1': 'off', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 2, '__PARA__L1': 62, '__PIPE__L0': 'off', '__PIPE__L1': '', '__PIPE__L2': '', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 2, '__PARA__L1': 62, '__PIPE__L0': 'off', '__PIPE__L1': '', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 2, '__PARA__L1': 62, '__PIPE__L0': 'off', '__PIPE__L1': '', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 2, '__PARA__L1': 62, '__PIPE__L0': 'off', '__PIPE__L1': 'off', '__PIPE__L2': '', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 2, '__PARA__L1': 62, '__PIPE__L0': 'off', '__PIPE__L1': 'off', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 2, '__PARA__L1': 62, '__PIPE__L0': 'off', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 21, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 21, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 2, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 21, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 4, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 3, '__PARA__L1': 1, '__PIPE__L0': '', '__PIPE__L1': '', '__PIPE__L2': '', '__TILE__L0': 1, '__TILE__L1': 62}
perf: 0.0 for point: {'__PARA__L0': 3, '__PARA__L1': 1, '__PIPE__L0': '', '__PIPE__L1': '', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 3, '__PARA__L1': 1, '__PIPE__L0': '', '__PIPE__L1': '', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 62}
perf: 0.0 for point: {'__PARA__L0': 3, '__PARA__L1': 1, '__PIPE__L0': '', '__PIPE__L1': '', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 62}
perf: 0.0 for point: {'__PARA__L0': 3, '__PARA__L1': 1, '__PIPE__L0': '', '__PIPE__L1': 'off', '__PIPE__L2': '', '__TILE__L0': 1, '__TILE__L1': 62}
perf: 0.0 for point: {'__PARA__L0': 3, '__PARA__L1': 1, '__PIPE__L0': '', '__PIPE__L1': 'off', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 3, '__PARA__L1': 1, '__PIPE__L0': '', '__PIPE__L1': 'off', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 62}
perf: 0.0 for point: {'__PARA__L0': 3, '__PARA__L1': 1, '__PIPE__L0': '', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 62}
perf: 0.0 for point: {'__PARA__L0': 3, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 3, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 4, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 3, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 8, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 3, '__PARA__L1': 1, '__PIPE__L0': 'off', '__PIPE__L1': '', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 3, '__PARA__L1': 1, '__PIPE__L0': 'off', '__PIPE__L1': '', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 62}
perf: 0.0 for point: {'__PARA__L0': 3, '__PARA__L1': 1, '__PIPE__L0': 'off', '__PIPE__L1': 'off', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 3, '__PARA__L1': 1, '__PIPE__L0': 'off', '__PIPE__L1': 'off', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 62}
perf: 0.0 for point: {'__PARA__L0': 3, '__PARA__L1': 62, '__PIPE__L0': '', '__PIPE__L1': '', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 3, '__PARA__L1': 62, '__PIPE__L0': '', '__PIPE__L1': 'off', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 3, '__PARA__L1': 62, '__PIPE__L0': 'off', '__PIPE__L1': '', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 3, '__PARA__L1': 62, '__PIPE__L0': 'off', '__PIPE__L1': 'flatten', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 3, '__PARA__L1': 62, '__PIPE__L0': 'off', '__PIPE__L1': 'off', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 32, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 32, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 2, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 4, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 4, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 2, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 4, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 4, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 4, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 8, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 4, '__PARA__L1': 62, '__PIPE__L0': 'off', '__PIPE__L1': '', '__PIPE__L2': '', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 4, '__PARA__L1': 62, '__PIPE__L0': 'off', '__PIPE__L1': '', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 4, '__PARA__L1': 62, '__PIPE__L0': 'off', '__PIPE__L1': '', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 4, '__PARA__L1': 62, '__PIPE__L0': 'off', '__PIPE__L1': 'off', '__PIPE__L2': '', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 4, '__PARA__L1': 62, '__PIPE__L0': 'off', '__PIPE__L1': 'off', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 4, '__PARA__L1': 62, '__PIPE__L0': 'off', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 6, '__PARA__L1': 1, '__PIPE__L0': '', '__PIPE__L1': '', '__PIPE__L2': '', '__TILE__L0': 1, '__TILE__L1': 62}
perf: 0.0 for point: {'__PARA__L0': 6, '__PARA__L1': 1, '__PIPE__L0': '', '__PIPE__L1': '', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 62}
perf: 0.0 for point: {'__PARA__L0': 6, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 6, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 2, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 6, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 4, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 6, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 8, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 6, '__PARA__L1': 1, '__PIPE__L0': 'off', '__PIPE__L1': '', '__PIPE__L2': '', '__TILE__L0': 1, '__TILE__L1': 62}
perf: 0.0 for point: {'__PARA__L0': 6, '__PARA__L1': 1, '__PIPE__L0': 'off', '__PIPE__L1': '', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 62}
perf: 0.0 for point: {'__PARA__L0': 7, '__PARA__L1': 1, '__PIPE__L0': '', '__PIPE__L1': '', '__PIPE__L2': '', '__TILE__L0': 1, '__TILE__L1': 62}
perf: 0.0 for point: {'__PARA__L0': 7, '__PARA__L1': 1, '__PIPE__L0': '', '__PIPE__L1': '', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 62}
perf: 0.0 for point: {'__PARA__L0': 7, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 7, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 2, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 7, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 4, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 7, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 8, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 7, '__PARA__L1': 1, '__PIPE__L0': 'off', '__PIPE__L1': '', '__PIPE__L2': '', '__TILE__L0': 1, '__TILE__L1': 62}
perf: 0.0 for point: {'__PARA__L0': 7, '__PARA__L1': 1, '__PIPE__L0': 'off', '__PIPE__L1': '', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 62}
perf: 0.0 for point: {'__PARA__L0': 7, '__PARA__L1': 62, '__PIPE__L0': '', '__PIPE__L1': 'flatten', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 7, '__PARA__L1': 62, '__PIPE__L0': 'off', '__PIPE__L1': 'flatten', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 8, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 8, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 2, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 8, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 4, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 8, '__PARA__L1': 1, '__PIPE__L0': 'flatten', '__PIPE__L1': 'off', '__PIPE__L2': 'off', '__TILE__L0': 8, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 8, '__PARA__L1': 62, '__PIPE__L0': '', '__PIPE__L1': '', '__PIPE__L2': 'flatten', '__TILE__L0': 1, '__TILE__L1': 1}
perf: 0.0 for point: {'__PARA__L0': 9, '__PARA__L1': 1, '__PIPE__L0': '', '__PIPE__L1': '', '__PIPE__L2': '', '__TILE__L0': 1, '__TILE__L1': 62}
perf: 0.0 for point: {'__PARA__L0': 9, '__PARA__L1': 1, '__PIPE__L0': '', '__PIPE__L1': '', '__PIPE__L2': 'off', '__TILE__L0': 1, '__TILE__L1': 62}
